                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1115,                 1.9687,                  2.238,                 1.1083,                0.33634,                0.68653,                0.44461,                0.36033,                0.33634,                0.68653,                0.44408,                0.35876,                0.81229,                 1.1421,                 1.7818,                 1.0072,             0.00014773,             0.00014773,             0.00014773
                     74,                 1.1167,                 1.9156,                 2.1684,                 1.0987,                0.36349,                0.70585,                0.45237,                0.36612,                0.36349,                0.70585,                0.45156,                0.36264,                 0.8041,                 1.1219,                 1.7612,                 1.0129,             0.00014589,             0.00014589,             0.00014589
                     75,                 1.1135,                 1.9886,                 2.1857,                 1.1042,                0.36812,                0.71821,                0.46654,                0.37827,                0.36812,                0.71821,                0.46563,                0.37395,                0.80281,                 1.1253,                 1.7345,                 1.0133,             0.00014406,             0.00014406,             0.00014406
                     76,                 1.1062,                 2.0029,                 2.1877,                 1.1169,                0.36591,                0.72357,                0.47896,                0.38754,                0.36591,                0.72357,                0.47797,                0.38507,                0.81267,                 1.1299,                  1.719,                 1.0201,             0.00014222,             0.00014222,             0.00014222
                     77,                  1.185,                 2.1484,                 2.2124,                 1.1287,                0.34502,                0.71503,                0.47171,                0.37626,                0.34502,                0.71503,                0.47062,                0.37719,                0.82053,                 1.1387,                 1.7177,                 1.0281,             0.00014039,             0.00014039,             0.00014039
                     78,                 1.1713,                 2.0613,                 2.1957,                 1.1244,                 0.3642,                 0.6285,                0.48195,                0.38513,                 0.3642,                 0.6285,                0.48095,                0.38345,                0.82087,                 1.1372,                 1.7213,                 1.0212,             0.00013856,             0.00013856,             0.00013856
                     79,                 1.1252,                 1.9573,                  2.147,                 1.1315,                0.36935,                0.63624,                0.48557,                0.38897,                0.36935,                0.63624,                0.48477,                0.38507,                0.81903,                 1.1384,                  1.743,                  1.015,             0.00013672,             0.00013672,             0.00013672
                     80,                 1.1174,                 1.9413,                 2.1364,                 1.1142,                0.36547,                0.69781,                0.48075,                0.38143,                0.36547,                0.69781,                0.47994,                 0.3791,                0.83354,                 1.1703,                 1.7368,                 1.0191,             0.00013489,             0.00013489,             0.00013489
                     81,                 1.1363,                 1.9998,                 2.1324,                 1.1283,                 0.3821,                0.66936,                0.48823,                0.39178,                 0.3821,                0.66936,                0.48732,                0.38785,                0.82522,                 1.1632,                 1.7079,                 1.0179,             0.00013305,             0.00013305,             0.00013305
                     82,                 1.0848,                 1.9164,                  2.139,                 1.1046,                0.35622,                0.68325,                0.49684,                 0.3987,                0.35622,                0.68325,                 0.4952,                0.39403,                0.81345,                 1.1477,                 1.6922,                 1.0179,             0.00013122,             0.00013122,             0.00013122
                     83,                 1.1367,                 2.0588,                 2.1377,                 1.1082,                0.35452,                0.68754,                 0.5091,                0.40721,                0.35452,                0.68754,                0.50731,                0.40434,                0.80998,                 1.1493,                 1.6932,                 1.0182,             0.00012938,             0.00012938,             0.00012938
                     84,                 1.1392,                 1.9972,                 2.1266,                 1.1099,                0.36577,                0.69666,                0.52688,                0.42006,                0.36577,                0.69666,                0.52474,                0.42092,                 0.8167,                 1.1509,                 1.6976,                 1.0218,             0.00012755,             0.00012755,             0.00012755
                     85,                 1.1271,                 1.9957,                 2.0848,                 1.1193,                0.34104,                 0.7238,                0.52641,                0.41844,                0.34208,                 0.7227,                0.52409,                0.42284,                0.81335,                 1.1525,                 1.6909,                   1.02,             0.00012571,             0.00012571,             0.00012571
                     86,                 1.1476,                 2.0977,                 2.1627,                 1.1485,                0.35682,                0.73807,                0.52667,                0.42551,                0.35655,                 0.7331,                0.52455,                0.42571,                 0.8094,                 1.1576,                 1.6883,                 1.0159,             0.00012388,             0.00012388,             0.00012388
                     87,                 1.1188,                 1.9622,                 2.0982,                 1.1008,                0.36654,                0.72336,                0.50666,                 0.4088,                0.36654,                0.72336,                0.50684,                0.40575,                0.79978,                 1.1595,                 1.6769,                  1.011,             0.00012204,             0.00012204,             0.00012204
                     88,                  1.152,                 2.0961,                 2.1597,                 1.1609,                0.37438,                0.70609,                0.50316,                0.40738,                0.37438,                0.70609,                0.50316,                0.40588,                0.78972,                 1.1551,                 1.6651,                 1.0061,             0.00012021,             0.00012021,             0.00012021
